likes,reposts,views,comments,attachments,text,movie,director,year,additional_info,oscar_winner,oscar_nominee,palme_winner,globe_winner,movie_flg,log_likes,log_reposts,log_views,log_comments,reactions,ER,prize,other_award
66,42,15814,2,9,"«Двое», 2002 год. 
Режиссер: Вернер Шрётер.",Двое,Вернер Шрётер,2002,,0.0,0.0,0.0,0.0,True,4.204692619390966,3.7612001156935615,9.66871413573975,1.0986122886681098,110,0.6955861894523839,0.0,0.0
222,106,19050,7,9,"«Ванильное небо», 2001 год. 
Режиссер: Кэмерон Кроу.",Ванильное небо,Кэмерон Кроу,2001,,0.0,0.0,0.0,0.0,True,5.407171771460119,4.672828834461906,9.854874872615436,2.079441541679836,335,1.7585301837270342,0.0,0.0
151,36,17432,5,9,"«Ла-Ла Ленд», 2016 год.
Режиссер: Дэмьен Шазелл.",Ла-Ла Ленд,Дэмьен Шазелл,2016,,0.0,1.0,0.0,0.0,True,5.0238805208462765,3.610917912644224,9.766120240743216,1.791759469228055,192,1.101422670949977,0.0,0.0
117,142,11666,5,9,"«Цвет ночи», 1994 год. 
Режиссер: Ричард Раш.

Психолог Билл Кейпа потерял свою пациентку - она выбросилась в окно прямо во время сеанса. Чтобы прийти в себя, Билл едет в Лос-Анджелес к своему коллеге-другу. Друг Билла проводит терапевтические сеансы для группы пациентов. В результате зверского нападения друг Билла погибает, после чего тот возглавляет сеансы с группой убитого. В довершении всех этих безумных событий Билл оказался втянут в роман с загадочной женщиной, которая может быть причастна к преступлению.

Ричард Раш выкручивает тумблер стилизованности и безрассудного пренебрежения к хорошему вкусу и правдоподобию на максимум для того, чтобы все соответствовало безумству истории. Добавьте к этому сцены преследований, горячие моменты с участием Джейн Марч, забавные роли второго плана, несколько ужасных преступлений, кульминацию с использованием гвоздемета и вы получите коктейль эмоций, который создает абсолютное удовольствие от просмотра.",Цвет ночи,Ричард Раш,1994," Психолог Билл Кейпа потерял свою пациентку - она выбросилась в окно прямо во время сеанса. Чтобы прийти в себя, Билл едет в Лос-Анджелес к своему коллеге-другу. Друг Билла проводит терапевтические сеансы для группы пациентов. В результате зверского нападения друг Билла погибает, после чего тот возглавляет сеансы с группой убитого. В довершении всех этих безумных событий Билл оказался втянут в роман с загадочной женщиной, которая может быть причастна к преступлению.Ричард Раш выкручивает тумблер стилизованности и безрассудного пренебрежения к хорошему вкусу и правдоподобию на максимум для того, чтобы все соответствовало безумству истории. Добавьте к этому сцены преследований, горячие моменты с участием Джейн Марч, забавные роли второго плана, несколько ужасных преступлений, кульминацию с использованием гвоздемета и вы получите коктейль эмоций, который создает абсолютное удовольствие от просмотра.",0.0,0.0,0.0,0.0,True,4.770684624465665,4.962844630259907,9.364519622823858,1.791759469228055,264,2.2629864563689357,0.0,0.0
317,531,48496,27,9,Хорроры 20-х годов XXI века 📽,,,0,Хорроры 20-х ов XXI века 📽,0.0,,,,False,5.762051382780177,6.2766434893416445,10.78925721934233,3.332204510175204,875,1.8042725173210161,,
93,24,14423,1,9,"🌻 Катрин Денёв в фильме «Дневная красавица», 1967 🌻",,,1967,"🌻 Катрин Денёв в фильме «Дневная красавица»,  🌻",0.0,,,,False,4.543294782270004,3.218875824868201,9.576648764883153,0.6931471805599453,118,0.8181376967343825,,
217,213,47323,23,9,"«Титан», 2021 год. 
Режиссер: Жюлия Дюкурно.",Титан,Жюлия Дюкурно,2021,,0.0,0.0,1.0,0.0,True,5.384495062789089,5.365976015021851,10.764772845373551,3.1780538303479458,453,0.957251230902521,1.0,1.0
152,82,17117,4,9,"«Кристина», 1983 год. 
Режиссер: Джон Карпентер.",Кристина,Джон Карпентер,1983,,0.0,0.0,0.0,0.0,True,5.030437921392435,4.418840607796598,9.747885820441557,1.6094379124341005,238,1.3904305661038734,0.0,0.0
123,7,11381,6,1,"🌼 Бриттани Мерфи для GQ, 2002 🌼",,,2002,"🌼 Бриттани Мерфи для GQ,  🌼",0.0,,,,False,4.820281565605037,2.079441541679836,9.339788439163067,1.9459101490553128,136,1.1949740796063615,,
693,404,27478,15,9,"«Догма», 1999 год. 
Режиссер: Кевин Смит.",Догма,Кевин Смит,1999,,0.0,0.0,0.0,0.0,True,6.542471960506805,6.003887067106539,10.221177355572255,2.772588722239781,1112,4.046873862726545,0.0,0.0
98,110,18699,0,9,"«Не глотать», 1997 год. 
Режиссер: Гари Олдман.

Название фильма связано с медицинской инструкцией, запрещающей давать больному пищу и воду через рот по различным причинам. Гари Олдман использовал эту фразу метафорически. 

Фильм повествует о рабочей семье, увязшей в насилии, алкоголе и наркомании. Глава семейства Рэймонд, его жена Валери и ее брат Билли живут в рабочем районе Лондона. Рэй — властный, грубый мужчина, привыкший выплескивать накопившуюся ярость на членов своей семьи. 

Данная работа автобиографична для Гари Олдмана, потому что его детство и юность прошли в похожей семье. Благодаря полному пониманию затрагиваемой темы Олдман воссоздал личную атмосферу. Этот фильм не предназначен для развлечения зрителя. Фильм «занимателен» только в том случае, если вы наслаждаетесь первоклассным кинопроизводством, независимо от того, насколько агрессивна и мрачна тема. Здесь нет никакой повестки, нет никакого послания; Олдман просто изображает одурманенный болью мир конкретной семьи из Южного Лондона.",Не глотать,Гари Олдман,1997," Название фильма связано с медицинской инструкцией, запрещающей давать больному пищу и воду через рот по различным причинам. Гари Олдман использовал эту фразу метафорически. Фильм повествует о рабочей семье, увязшей в насилии, алкоголе и наркомании. Глава семейства Рэймонд, его жена Валери и ее брат Билли живут в рабочем районе Лондона. Рэй — властный, грубый мужчина, привыкший выплескивать накопившуюся ярость на членов своей семьи. Данная работа автобиографична для Гари Олдмана, потому что его детство и юность прошли в похожей семье. Блааря полному пониманию затрагиваемой темы Олдман воссоздал личную атмосферу. Этот фильм не предназначен для развлечения зрителя. Фильм «занимателен» только в том случае, если вы наслаждаетесь первоклассным кинопроизводством, независимо от того, насколько агрессивна и мрачна тема. Здесь нет никакой повестки, нет никакого послания; Олдман просто изображает одурманенный болью мир конкретной семьи из Южного Лондона.",0.0,0.0,0.0,0.0,True,4.59511985013459,4.709530201312334,9.836278802842678,0.0,208,1.1123589496764534,0.0,0.0
192,30,14896,8,5,🖤 Шарлотта Генсбур в объективе Паолы Кудаки 🖤,,,0,🖤 Шарлотта Генсбур в объективе Паолы Кудаки 🖤,0.0,,,,False,5.262690188904886,3.4339872044851463,9.608915129379591,2.19722457733622,230,1.5440386680988185,,
